序號,答案
20240117090001,702.01
20240117091001,840.23
20240117092001,601.35
20240117093001,537.82
20240117094001,218.14
20240117095001,300.92
20240117100001,181.08
20240117101001,163.0
20240117102001,193.26
20240117103001,170.02
20240117104001,153.49
20240117105001,137.3
20240117110001,143.9
20240117111001,188.25
20240117112001,165.62
20240117113001,114.36
20240117114001,83.46
20240117115001,219.16
20240117120001,202.43
20240117121001,192.11
20240117122001,100.05
20240117123001,126.24
20240117124001,251.06
20240117125001,151.46
20240117130001,142.04
20240117131001,190.83
20240117132001,342.51
20240117133001,484.83
20240117134001,677.02
20240117135001,518.8
20240117140001,514.02
20240117141001,738.51
20240117142001,286.19
20240117143001,227.88
20240117144001,522.88
20240117145001,552.2
20240117150001,574.66
20240117151001,287.99
20240117152001,194.57
20240117153001,145.31
20240117154001,111.61
20240117155001,135.73
20240117160001,71.23
20240117161001,15.86
20240117162001,12.48
20240117163001,5.01
20240117164001,9.01
20240117165001,7.82
20240119090001,434.31
20240119091001,517.23
20240119092001,426.4
20240119093001,593.85
20240119094001,485.42
20240119095001,511.36
20240119100001,564.16
20240119101001,263.11
20240119102001,479.55
20240119103001,1010.11
20240119104001,921.88
20240119105001,1037.44
20240119110001,982.68
20240119111001,1364.95
20240119112001,1161.03
20240119113001,1242.94
20240119114001,1058.67
20240119115001,1289.19
20240119120001,1123.3
20240119121001,697.46
20240119122001,697.94
20240119123001,670.63
20240119124001,555.64
20240119125001,1133.86
20240119130001,1022.15
20240119131001,673.52
20240119132001,1009.07
20240119133001,412.06
20240119134001,400.95
20240119135001,450.56
20240119140001,797.01
20240119141001,363.28
20240119142001,760.65
20240119143001,239.26
20240119144001,601.33
20240119145001,256.75
20240119150001,100.27
20240119151001,72.52
20240119152001,64.3
20240119153001,32.36
20240119154001,36.79
20240119155001,24.43
20240119160001,28.29
20240119161001,18.79
20240119162001,9.05
20240119163001,8.92
20240119164001,8.76
20240119165001,4.36
20240224090001,80.42
20240224091001,79.53
20240224092001,90.43
20240224093001,50.06
20240224094001,68.61
20240224095001,113.12
20240224100001,106.59
20240224101001,70.71
20240224102001,87.6
20240224103001,104.65
20240224104001,71.23
20240224105001,60.17
20240224110001,53.33
20240224111001,67.6
20240224112001,64.57
20240224113001,95.04
20240224114001,74.34
20240224115001,56.57
20240224120001,62.49
20240224121001,59.57
20240224122001,54.52
20240224123001,56.89
20240224124001,73.53
20240224125001,74.02
20240224130001,56.73
20240224131001,48.88
20240224132001,46.81
20240224133001,49.23
20240224134001,56.02
20240224135001,58.89
20240224140001,37.02
20240224141001,31.86
20240224142001,27.77
20240224143001,27.5
20240224144001,29.61
20240224145001,25.38
