LocationCode,DateTime,Power(mW),GHI,Azimuth,Elevation,Solarinsolation,H_UVI,TEMP,H_UVI_TEMP_interaction,angle,story,DNI,DHI
6,2024-05-14 16:50:00,6.29,69.67,282.03,20.8,0.44,1.0,24.3,24.54,208,5,160.22,18.41
6,2024-05-14 16:51:00,6.17,68.7,282.11,20.57,0.44,1.0,24.3,24.54,208,5,159.46,18.3
6,2024-05-14 16:52:00,7.28,67.72,282.19,20.35,0.44,1.0,24.3,24.54,208,5,158.7,18.2
6,2024-05-14 16:53:00,8.43,66.75,282.28,20.13,0.44,1.0,24.3,24.54,208,5,157.94,18.09
6,2024-05-14 16:54:00,9.2,65.77,282.36,19.91,0.44,1.0,24.3,24.54,208,5,157.18,17.98
6,2024-05-14 16:55:00,9.76,64.8,282.45,19.68,0.44,1.0,24.3,24.54,208,5,156.43,17.88
6,2024-05-14 16:56:00,10.0,63.83,282.53,19.46,0.44,1.0,24.3,24.54,208,5,155.67,17.77
6,2024-05-14 16:57:00,9.94,62.85,282.61,19.24,0.44,1.0,24.3,24.54,208,5,154.91,17.66
6,2024-05-14 16:58:00,9.2,61.88,282.7,19.02,0.44,1.0,24.3,24.54,208,5,154.15,17.55
6,2024-05-14 16:59:00,8.43,60.9,282.78,18.79,0.44,1.0,24.3,24.54,208,5,153.39,17.45
6,2024-05-14 17:00:00,6.85,59.93,282.87,18.57,0.43,0.8,24.2,19.6,208,5,152.63,17.34
6,2024-05-14 17:01:00,6.0,59.0,282.95,18.35,0.43,0.8,24.2,19.6,208,5,151.47,17.2
6,2024-05-14 17:02:00,5.22,58.07,283.04,18.13,0.43,0.8,24.2,19.6,208,5,150.31,17.06
6,2024-05-14 17:03:00,5.57,57.15,283.12,17.91,0.43,0.8,24.2,19.6,208,5,149.16,16.92
6,2024-05-14 17:04:00,6.55,56.22,283.21,17.68,0.43,0.8,24.2,19.6,208,5,148.0,16.78
6,2024-05-14 17:05:00,6.24,55.29,283.29,17.46,0.43,0.8,24.2,19.6,208,5,146.84,16.64
6,2024-05-14 17:06:00,5.78,54.36,283.38,17.24,0.43,0.8,24.2,19.6,208,5,145.68,16.5
6,2024-05-14 17:07:00,5.22,53.43,283.46,17.02,0.43,0.8,24.2,19.6,208,5,144.52,16.36
6,2024-05-14 17:08:00,4.7,52.51,283.55,16.8,0.43,0.8,24.2,19.6,208,5,143.37,16.22
6,2024-05-14 17:09:00,4.14,51.58,283.63,16.58,0.43,0.8,24.2,19.6,208,5,142.21,16.08
6,2024-05-14 17:10:00,3.72,50.65,283.72,16.36,0.38,0.6,24.0,14.64,208,5,141.05,15.94
6,2024-05-14 17:11:00,3.24,49.72,283.81,16.14,0.38,0.6,24.0,14.64,208,5,139.89,15.8
6,2024-05-14 17:12:00,2.64,48.8,283.89,15.91,0.38,0.6,24.0,14.64,208,5,138.73,15.66
6,2024-05-14 17:13:00,1.99,47.87,283.98,15.69,0.38,0.6,24.0,14.64,208,5,137.57,15.52
6,2024-05-14 17:14:00,1.42,46.94,284.07,15.47,0.38,0.6,24.0,14.64,208,5,136.41,15.38
6,2024-05-14 17:15:00,1.21,46.02,284.15,15.25,0.38,0.6,24.0,14.64,208,5,135.26,15.24
6,2024-05-14 17:16:00,1.17,45.09,284.24,15.03,0.38,0.6,24.0,14.64,208,5,134.1,15.11
6,2024-05-14 17:17:00,1.14,44.16,284.33,14.81,0.38,0.6,24.0,14.64,208,5,132.94,14.97
6,2024-05-14 17:18:00,1.03,43.23,284.41,14.59,0.38,0.6,24.0,14.64,208,5,131.78,14.83
6,2024-05-14 17:19:00,1.33,42.31,284.5,14.37,0.38,0.6,24.0,14.64,208,5,130.62,14.69
6,2024-05-14 17:20:00,1.34,41.38,284.59,14.15,0.32,0.5,24.0,12.24,208,5,129.46,14.55
6,2024-05-14 17:21:00,1.34,40.45,284.67,13.93,0.32,0.5,24.0,12.24,208,5,128.3,14.41
6,2024-05-14 17:22:00,0.99,39.52,284.76,13.71,0.32,0.5,24.0,12.24,208,5,127.14,14.27
6,2024-05-14 17:23:00,0.75,38.6,284.85,13.49,0.32,0.5,24.0,12.24,208,5,125.99,14.13
6,2024-05-14 17:24:00,0.61,37.67,284.94,13.27,0.32,0.5,24.0,12.24,208,5,124.83,13.99
6,2024-05-14 17:25:00,0.62,36.74,285.02,13.05,0.32,0.5,24.0,12.24,208,5,123.67,13.85
6,2024-05-14 17:26:00,0.75,35.81,285.11,12.83,0.32,0.5,24.0,12.24,208,5,122.51,13.71
6,2024-05-14 17:27:00,0.89,34.88,285.2,12.61,0.32,0.5,24.0,12.24,208,5,121.35,13.57
6,2024-05-14 17:28:00,0.93,33.96,285.29,12.39,0.32,0.5,24.0,12.24,208,5,120.2,13.43
6,2024-05-14 17:29:00,1.11,33.03,285.38,12.18,0.32,0.5,24.0,12.24,208,5,119.04,13.29
6,2024-05-14 17:30:00,1.2,32.1,285.47,11.96,0.27,0.4,23.9,9.8,208,5,117.88,13.15
6,2024-05-14 17:31:00,0.95,31.31,285.56,11.74,0.27,0.4,23.9,9.8,208,5,115.82,12.95
6,2024-05-14 17:32:00,0.91,30.52,285.65,11.52,0.27,0.4,23.9,9.8,208,5,113.75,12.74
6,2024-05-14 17:33:00,0.97,29.73,285.73,11.3,0.27,0.4,23.9,9.8,208,5,111.69,12.54
6,2024-05-14 17:34:00,1.41,28.94,285.82,11.08,0.27,0.4,23.9,9.8,208,5,109.63,12.33
6,2024-05-14 17:35:00,1.71,28.15,285.91,10.86,0.27,0.4,23.9,9.8,208,5,107.56,12.13
6,2024-05-14 17:36:00,1.88,27.36,286.0,10.65,0.27,0.4,23.9,9.8,208,5,105.5,11.93
6,2024-05-14 17:37:00,1.63,26.57,286.09,10.43,0.27,0.4,23.9,9.8,208,5,103.44,11.72
6,2024-05-14 17:38:00,1.37,25.78,286.18,10.21,0.27,0.4,23.9,9.8,208,5,101.38,11.52
6,2024-05-14 17:39:00,1.16,24.99,286.27,9.99,0.27,0.4,23.9,9.8,208,5,99.31,11.31
6,2024-05-14 17:40:00,1.12,24.2,286.37,9.78,0.22,0.3,23.9,7.41,208,5,97.25,11.11
6,2024-05-14 17:41:00,1.14,23.41,286.46,9.56,0.22,0.3,23.9,7.41,208,5,95.19,10.9
6,2024-05-14 17:42:00,1.14,22.62,286.55,9.34,0.22,0.3,23.9,7.41,208,5,93.12,10.7
6,2024-05-14 17:43:00,1.16,21.83,286.64,9.13,0.22,0.3,23.9,7.41,208,5,91.06,10.5
6,2024-05-14 17:44:00,1.17,21.04,286.73,8.91,0.22,0.3,23.9,7.41,208,5,88.99,10.29
6,2024-05-14 17:45:00,1.12,20.24,286.82,8.69,0.22,0.3,23.9,7.41,208,5,86.93,10.09
6,2024-05-14 17:46:00,0.97,19.45,286.91,8.48,0.22,0.3,23.9,7.41,208,5,84.87,9.88
6,2024-05-14 17:47:00,0.93,18.66,287.01,8.26,0.22,0.3,23.9,7.41,208,5,82.8,9.68
6,2024-05-14 17:48:00,0.9,17.87,287.1,8.04,0.22,0.3,23.9,7.41,208,5,80.74,9.47
6,2024-05-14 17:49:00,0.79,17.08,287.19,7.83,0.22,0.3,23.9,7.41,208,5,78.67,9.26
6,2024-05-14 17:50:00,0.78,16.29,287.28,7.61,0.16,0.2,23.9,5.02,208,5,76.61,9.06
6,2024-05-14 17:51:00,0.77,15.5,287.38,7.4,0.16,0.2,23.9,5.02,208,5,74.55,8.86
6,2024-05-14 17:52:00,0.75,14.71,287.47,7.18,0.16,0.2,23.9,5.02,208,5,72.48,8.65
6,2024-05-14 17:53:00,0.62,13.92,287.56,6.97,0.16,0.2,23.9,5.02,208,5,70.42,8.45
6,2024-05-14 17:54:00,0.56,13.13,287.66,6.75,0.16,0.2,23.9,5.02,208,5,68.36,8.24
6,2024-05-14 17:55:00,0.41,12.34,287.75,6.54,0.16,0.2,23.9,5.02,208,5,66.3,8.04
6,2024-05-14 17:56:00,0.29,11.55,287.84,6.33,0.16,0.2,23.9,5.02,208,5,64.23,7.84
6,2024-05-14 17:57:00,0.25,10.76,287.94,6.11,0.16,0.2,23.9,5.02,208,5,62.17,7.63
6,2024-05-14 17:58:00,0.18,9.97,288.03,5.9,0.16,0.2,23.9,5.02,208,5,60.11,7.43
6,2024-05-14 17:59:00,0.16,9.18,288.13,5.69,0.16,0.2,23.9,5.02,208,5,58.04,7.22
6,2024-05-14 18:00:00,0.12,8.39,288.22,5.48,0.11,0.2,23.8,5.0,208,5,55.98,7.02
6,2024-05-14 18:01:00,0.09,8.11,288.32,5.26,0.11,0.2,23.8,5.0,208,5,54.11,6.79
6,2024-05-14 18:02:00,0.08,7.83,288.41,5.05,0.11,0.2,23.8,5.0,208,5,52.25,6.55
6,2024-05-14 18:03:00,0.08,7.55,288.51,4.84,0.11,0.2,23.8,5.0,208,5,50.38,6.32
6,2024-05-14 18:04:00,0.08,7.27,288.6,4.63,0.11,0.2,23.8,5.0,208,5,48.52,6.08
6,2024-05-14 18:05:00,0.08,6.99,288.7,4.42,0.11,0.2,23.8,5.0,208,5,46.65,5.85
6,2024-05-14 18:06:00,0.08,6.71,288.8,4.21,0.11,0.2,23.8,5.0,208,5,44.78,5.62
6,2024-05-14 18:07:00,0.09,6.43,288.89,4.0,0.11,0.2,23.8,5.0,208,5,42.92,5.38
6,2024-05-14 18:08:00,0.07,6.15,288.99,3.79,0.11,0.2,23.8,5.0,208,5,41.05,5.15
6,2024-05-14 18:09:00,0.07,5.87,289.09,3.59,0.11,0.2,23.8,5.0,208,5,39.19,4.91
6,2024-05-14 18:10:00,0.06,5.59,289.19,3.38,0.09,0.1,23.7,2.61,208,5,37.32,4.68
6,2024-05-14 18:11:00,0.06,5.31,289.28,3.17,0.09,0.1,23.7,2.61,208,5,35.45,4.45
6,2024-05-14 18:12:00,0.08,5.03,289.38,2.97,0.09,0.1,23.7,2.61,208,5,33.59,4.21
6,2024-05-14 18:13:00,0.08,4.75,289.48,2.76,0.09,0.1,23.7,2.61,208,5,31.72,3.98
6,2024-05-14 18:14:00,0.09,4.47,289.58,2.56,0.09,0.1,23.7,2.61,208,5,29.86,3.74
6,2024-05-14 18:15:00,0.08,4.2,289.68,2.36,0.09,0.1,23.7,2.61,208,5,27.99,3.51
6,2024-05-14 18:16:00,0.08,3.92,289.78,2.16,0.09,0.1,23.7,2.61,208,5,26.12,3.28
6,2024-05-14 18:17:00,0.08,3.64,289.88,1.96,0.09,0.1,23.7,2.61,208,5,24.26,3.04
6,2024-05-14 18:18:00,0.06,3.36,289.97,1.76,0.09,0.1,23.7,2.61,208,5,22.39,2.81
6,2024-05-14 18:19:00,0.05,3.08,290.07,1.56,0.09,0.1,23.7,2.61,208,5,20.53,2.57
6,2024-05-14 18:20:00,0.04,2.8,290.17,1.37,0.08,0.1,23.7,2.61,208,5,18.66,2.34
6,2024-05-14 18:21:00,0.04,2.52,290.28,1.18,0.08,0.1,23.7,2.61,208,5,16.79,2.11
6,2024-05-14 18:22:00,0.03,2.24,290.38,0.99,0.08,0.1,23.7,2.61,208,5,14.93,1.87
6,2024-05-14 18:23:00,0.02,1.96,290.48,0.8,0.08,0.1,23.7,2.61,208,5,13.06,1.64
6,2024-05-14 18:24:00,0.03,1.68,290.58,0.61,0.08,0.1,23.7,2.61,208,5,11.2,1.4
6,2024-05-14 18:25:00,0.02,1.4,290.68,0.43,0.08,0.1,23.7,2.61,208,5,9.33,1.17
6,2024-05-14 18:26:00,0.02,1.12,290.78,0.25,0.08,0.1,23.7,2.61,208,5,7.46,0.94
6,2024-05-14 18:27:00,0.01,0.84,290.88,0.07,0.08,0.1,23.7,2.61,208,5,5.6,0.7
6,2024-05-15 05:13:00,0.04,5.07,69.04,0.14,0.05,0.0,21.7,0.22,208,5,29.96,3.57
6,2024-05-15 05:14:00,0.06,5.46,69.14,0.32,0.05,0.0,21.7,0.22,208,5,32.27,3.84
6,2024-05-15 05:15:00,0.08,5.86,69.24,0.5,0.05,0.0,21.7,0.22,208,5,34.57,4.12
6,2024-05-15 05:16:00,0.08,6.25,69.34,0.69,0.05,0.0,21.7,0.22,208,5,36.87,4.39
6,2024-05-15 05:17:00,0.1,6.64,69.45,0.87,0.05,0.0,21.7,0.22,208,5,39.18,4.67
6,2024-05-15 05:18:00,0.1,7.03,69.55,1.06,0.05,0.0,21.7,0.22,208,5,41.48,4.94
6,2024-05-15 05:19:00,0.13,7.42,69.65,1.26,0.05,0.0,21.7,0.22,208,5,43.79,5.22
6,2024-05-15 05:20:00,0.13,7.81,69.75,1.45,0.05,0.0,21.8,0.22,208,5,46.09,5.49
6,2024-05-15 05:21:00,0.19,8.2,69.85,1.64,0.05,0.0,21.8,0.22,208,5,48.4,5.76
6,2024-05-15 05:22:00,0.26,8.59,69.95,1.84,0.05,0.0,21.8,0.22,208,5,50.7,6.04
6,2024-05-15 05:23:00,0.27,8.98,70.04,2.04,0.05,0.0,21.8,0.22,208,5,53.0,6.31
6,2024-05-15 05:24:00,0.3,9.37,70.14,2.24,0.05,0.0,21.8,0.22,208,5,55.31,6.59
6,2024-05-15 05:25:00,0.37,9.76,70.24,2.44,0.05,0.0,21.8,0.22,208,5,57.62,6.86
6,2024-05-15 05:26:00,0.41,10.15,70.34,2.64,0.05,0.0,21.8,0.22,208,5,59.92,7.13
6,2024-05-15 05:27:00,0.55,10.54,70.44,2.85,0.05,0.0,21.8,0.22,208,5,62.22,7.41
6,2024-05-15 05:28:00,0.61,10.93,70.54,3.05,0.05,0.0,21.8,0.22,208,5,64.53,7.68
6,2024-05-15 05:29:00,0.73,11.32,70.63,3.26,0.05,0.0,21.8,0.22,208,5,66.84,7.96
6,2024-05-15 05:30:00,0.91,11.71,70.73,3.46,0.05,0.0,21.9,0.22,208,5,69.14,8.23
6,2024-05-15 05:31:00,0.95,12.53,70.83,3.67,0.05,0.0,21.9,0.22,208,5,70.99,8.42
6,2024-05-15 05:32:00,1.07,13.36,70.93,3.88,0.05,0.0,21.9,0.22,208,5,72.84,8.61
6,2024-05-15 05:33:00,1.12,14.18,71.02,4.09,0.05,0.0,21.9,0.22,208,5,74.7,8.8
6,2024-05-15 05:34:00,1.17,15.01,71.12,4.3,0.05,0.0,21.9,0.22,208,5,76.55,8.99
6,2024-05-15 05:35:00,1.32,15.83,71.21,4.51,0.05,0.0,21.9,0.22,208,5,78.4,9.18
6,2024-05-15 05:36:00,1.45,16.65,71.31,4.72,0.05,0.0,21.9,0.22,208,5,80.25,9.37
6,2024-05-15 05:37:00,1.71,17.48,71.41,4.93,0.05,0.0,21.9,0.22,208,5,82.1,9.56
6,2024-05-15 05:38:00,2.03,18.3,71.5,5.14,0.05,0.0,21.9,0.22,208,5,83.96,9.75
6,2024-05-15 05:39:00,2.3,19.13,71.6,5.35,0.05,0.0,21.9,0.22,208,5,85.81,9.94
6,2024-05-15 05:40:00,2.62,19.95,71.69,5.56,0.05,0.0,21.9,0.22,208,5,87.66,10.13
6,2024-05-15 05:41:00,2.66,20.77,71.78,5.77,0.05,0.0,21.9,0.22,208,5,89.51,10.32
6,2024-05-15 05:42:00,2.92,21.6,71.88,5.99,0.05,0.0,21.9,0.22,208,5,91.36,10.51
6,2024-05-15 05:43:00,3.08,22.42,71.97,6.2,0.05,0.0,21.9,0.22,208,5,93.22,10.7
6,2024-05-15 05:44:00,3.37,23.24,72.07,6.41,0.05,0.0,21.9,0.22,208,5,95.07,10.89
6,2024-05-15 05:45:00,3.44,24.06,72.16,6.63,0.05,0.0,21.9,0.22,208,5,96.92,11.08
6,2024-05-15 05:46:00,3.31,24.89,72.25,6.84,0.05,0.0,21.9,0.22,208,5,98.77,11.26
6,2024-05-15 05:47:00,3.37,25.71,72.35,7.06,0.05,0.0,21.9,0.22,208,5,100.62,11.45
6,2024-05-15 05:48:00,4.26,26.53,72.44,7.27,0.05,0.0,21.9,0.22,208,5,102.48,11.64
6,2024-05-15 05:49:00,4.75,27.36,72.53,7.49,0.05,0.0,21.9,0.22,208,5,104.33,11.83
6,2024-05-15 05:50:00,5.32,28.18,72.63,7.7,0.05,0.0,22.0,0.22,208,5,106.18,12.02
6,2024-05-15 05:51:00,6.14,29.0,72.72,7.92,0.05,0.0,22.0,0.22,208,5,108.03,12.21
6,2024-05-15 05:52:00,6.68,29.83,72.81,8.13,0.05,0.0,22.0,0.22,208,5,109.88,12.4
6,2024-05-15 05:53:00,7.36,30.65,72.9,8.35,0.05,0.0,22.0,0.22,208,5,111.74,12.59
6,2024-05-15 05:54:00,7.88,31.48,72.99,8.56,0.05,0.0,22.0,0.22,208,5,113.59,12.78
