LocationCode,DateTime,Power(mW),GHI,Azimuth,Elevation,Solarinsolation,H_UVI,TEMP,H_UVI_TEMP_interaction
7,2024-05-17 16:54:00,2.0,70.65,283.05,20.15,0.39,0.9,25.7,23.39
7,2024-05-17 16:55:00,2.03,70.65,283.13,19.93,0.39,0.9,25.7,23.39
7,2024-05-17 16:56:00,1.77,70.65,283.21,19.7,0.39,0.9,25.7,23.39
7,2024-05-17 16:57:00,2.31,70.65,283.3,19.48,0.39,0.9,25.7,23.39
7,2024-05-17 16:58:00,2.13,70.65,283.38,19.26,0.39,0.9,25.7,23.39
7,2024-05-17 16:59:00,2.17,70.65,283.46,19.04,0.39,0.9,25.7,23.39
7,2024-05-17 17:00:00,2.07,60.95,283.55,18.82,0.4,0.8,25.5,20.66
7,2024-05-17 17:01:00,1.82,60.95,283.63,18.6,0.4,0.8,25.5,20.66
7,2024-05-17 17:02:00,1.77,60.95,283.71,18.38,0.4,0.8,25.5,20.66
7,2024-05-17 17:03:00,1.77,60.95,283.8,18.15,0.4,0.8,25.5,20.66
7,2024-05-17 17:04:00,1.78,60.95,283.88,17.93,0.4,0.8,25.5,20.66
7,2024-05-17 17:05:00,2.0,60.95,283.97,17.71,0.4,0.8,25.5,20.66
7,2024-05-17 17:06:00,2.12,60.95,284.05,17.49,0.4,0.8,25.5,20.66
7,2024-05-17 17:07:00,2.0,60.95,284.14,17.27,0.4,0.8,25.5,20.66
7,2024-05-17 17:08:00,1.74,60.95,284.22,17.05,0.4,0.8,25.5,20.66
7,2024-05-17 17:09:00,1.48,60.95,284.3,16.83,0.4,0.8,25.5,20.66
7,2024-05-17 17:10:00,1.23,51.69,284.39,16.61,0.35,0.7,25.5,18.1
7,2024-05-17 17:11:00,1.03,51.69,284.47,16.39,0.35,0.7,25.5,18.1
7,2024-05-17 17:12:00,0.96,51.69,284.56,16.17,0.35,0.7,25.5,18.1
7,2024-05-17 17:13:00,0.95,51.69,284.64,15.95,0.35,0.7,25.5,18.1
7,2024-05-17 17:14:00,0.96,51.69,284.73,15.73,0.35,0.7,25.5,18.1
7,2024-05-17 17:15:00,1.0,51.69,284.82,15.51,0.35,0.7,25.5,18.1
7,2024-05-17 17:16:00,1.0,51.69,284.9,15.29,0.35,0.7,25.5,18.1
7,2024-05-17 17:17:00,0.94,51.69,284.99,15.07,0.35,0.7,25.5,18.1
7,2024-05-17 17:18:00,0.82,51.69,285.07,14.85,0.35,0.7,25.5,18.1
7,2024-05-17 17:19:00,0.77,51.69,285.16,14.63,0.35,0.7,25.5,18.1
7,2024-05-17 17:20:00,0.62,42.42,285.25,14.41,0.3,0.5,25.4,12.95
7,2024-05-17 17:21:00,0.6,42.42,285.33,14.19,0.3,0.5,25.4,12.95
7,2024-05-17 17:22:00,0.63,42.42,285.42,13.97,0.3,0.5,25.4,12.95
7,2024-05-17 17:23:00,0.62,42.42,285.51,13.75,0.3,0.5,25.4,12.95
7,2024-05-17 17:24:00,0.58,42.42,285.59,13.53,0.3,0.5,25.4,12.95
7,2024-05-17 17:25:00,0.6,42.42,285.68,13.31,0.3,0.5,25.4,12.95
7,2024-05-17 17:26:00,0.61,42.42,285.77,13.09,0.3,0.5,25.4,12.95
7,2024-05-17 17:27:00,0.59,42.42,285.85,12.88,0.3,0.5,25.4,12.95
7,2024-05-17 17:28:00,0.6,42.42,285.94,12.66,0.3,0.5,25.4,12.95
7,2024-05-17 17:29:00,0.61,42.42,286.03,12.44,0.3,0.5,25.4,12.95
7,2024-05-17 17:30:00,0.64,33.16,286.12,12.22,0.24,0.3,25.4,7.87
7,2024-05-17 17:31:00,0.77,33.16,286.21,12.0,0.24,0.3,25.4,7.87
7,2024-05-17 17:32:00,0.92,33.16,286.29,11.79,0.24,0.3,25.4,7.87
7,2024-05-17 17:33:00,1.0,33.16,286.38,11.57,0.24,0.3,25.4,7.87
7,2024-05-17 17:34:00,1.22,33.16,286.47,11.35,0.24,0.3,25.4,7.87
7,2024-05-17 17:35:00,1.43,33.16,286.56,11.13,0.24,0.3,25.4,7.87
7,2024-05-17 17:36:00,1.57,33.16,286.65,10.92,0.24,0.3,25.4,7.87
7,2024-05-17 17:37:00,2.03,33.16,286.74,10.7,0.24,0.3,25.4,7.87
7,2024-05-17 17:38:00,2.39,33.16,286.83,10.48,0.24,0.3,25.4,7.87
7,2024-05-17 17:39:00,2.8,33.16,286.92,10.26,0.24,0.3,25.4,7.87
7,2024-05-17 17:40:00,3.05,25.2,287.01,10.05,0.19,0.2,24.8,5.21
7,2024-05-17 17:41:00,3.13,25.2,287.1,9.83,0.19,0.2,24.8,5.21
7,2024-05-17 17:42:00,3.18,25.2,287.19,9.61,0.19,0.2,24.8,5.21
7,2024-05-17 17:43:00,3.2,25.2,287.28,9.4,0.19,0.2,24.8,5.21
7,2024-05-17 17:44:00,3.13,25.2,287.37,9.18,0.19,0.2,24.8,5.21
7,2024-05-17 17:45:00,3.06,25.2,287.46,8.97,0.19,0.2,24.8,5.21
7,2024-05-17 17:46:00,2.71,25.2,287.55,8.75,0.19,0.2,24.8,5.21
7,2024-05-17 17:47:00,2.36,25.2,287.64,8.54,0.19,0.2,24.8,5.21
7,2024-05-17 17:48:00,2.1,25.2,287.73,8.32,0.19,0.2,24.8,5.21
7,2024-05-17 17:49:00,2.0,25.2,287.83,8.11,0.19,0.2,24.8,5.21
7,2024-05-17 17:50:00,1.74,17.24,287.92,7.89,0.14,0.1,24.7,2.72
7,2024-05-17 17:51:00,1.53,17.24,288.01,7.68,0.14,0.1,24.7,2.72
7,2024-05-17 17:52:00,1.42,17.24,288.1,7.46,0.14,0.1,24.7,2.72
7,2024-05-17 17:53:00,1.05,17.24,288.2,7.25,0.14,0.1,24.7,2.72
7,2024-05-17 17:54:00,0.96,17.24,288.29,7.03,0.14,0.1,24.7,2.72
7,2024-05-17 17:55:00,0.76,17.24,288.38,6.82,0.14,0.1,24.7,2.72
7,2024-05-17 17:56:00,0.65,17.24,288.47,6.61,0.14,0.1,24.7,2.72
7,2024-05-17 17:57:00,0.61,17.24,288.57,6.4,0.14,0.1,24.7,2.72
7,2024-05-17 17:58:00,0.58,17.24,288.66,6.18,0.14,0.1,24.7,2.72
7,2024-05-17 17:59:00,0.55,17.24,288.76,5.97,0.14,0.1,24.7,2.72
7,2024-05-17 18:00:00,0.57,9.28,288.85,5.76,0.09,0.1,24.1,2.65
7,2024-05-17 18:01:00,0.56,9.28,288.95,5.55,0.09,0.1,24.1,2.65
7,2024-05-17 18:02:00,0.54,9.28,289.04,5.34,0.09,0.1,24.1,2.65
7,2024-05-17 18:03:00,0.46,9.28,289.14,5.13,0.09,0.1,24.1,2.65
7,2024-05-17 18:04:00,0.46,9.28,289.23,4.92,0.09,0.1,24.1,2.65
7,2024-05-17 18:05:00,0.48,9.28,289.33,4.71,0.09,0.1,24.1,2.65
7,2024-05-17 18:06:00,0.6,9.28,289.42,4.5,0.09,0.1,24.1,2.65
7,2024-05-17 18:07:00,0.61,9.28,289.52,4.29,0.09,0.1,24.1,2.65
7,2024-05-17 18:08:00,0.59,9.28,289.61,4.08,0.09,0.1,24.1,2.65
7,2024-05-17 18:09:00,0.48,9.28,289.71,3.87,0.09,0.1,24.1,2.65
7,2024-05-17 18:10:00,0.42,6.19,289.81,3.66,0.08,0.1,24.1,2.65
7,2024-05-17 18:11:00,0.32,6.19,289.91,3.46,0.08,0.1,24.1,2.65
7,2024-05-17 18:12:00,0.28,6.19,290.0,3.25,0.08,0.1,24.1,2.65
7,2024-05-17 18:13:00,0.23,6.19,290.1,3.05,0.08,0.1,24.1,2.65
7,2024-05-17 18:14:00,0.21,6.19,290.2,2.84,0.08,0.1,24.1,2.65
7,2024-05-17 18:15:00,0.18,6.19,290.3,2.64,0.08,0.1,24.1,2.65
7,2024-05-17 18:16:00,0.14,6.19,290.4,2.44,0.08,0.1,24.1,2.65
7,2024-05-17 18:17:00,0.17,6.19,290.49,2.24,0.08,0.1,24.1,2.65
7,2024-05-17 18:18:00,0.13,6.19,290.59,2.04,0.08,0.1,24.1,2.65
7,2024-05-17 18:19:00,0.12,6.19,290.69,1.84,0.08,0.1,24.1,2.65
7,2024-05-17 18:20:00,0.1,3.09,290.79,1.65,0.07,0.1,23.8,2.62
7,2024-05-17 18:21:00,0.09,3.09,290.89,1.45,0.07,0.1,23.8,2.62
7,2024-05-17 18:22:00,0.07,3.09,290.99,1.26,0.07,0.1,23.8,2.62
7,2024-05-17 18:23:00,0.06,3.09,291.09,1.07,0.07,0.1,23.8,2.62
7,2024-05-17 18:24:00,0.05,3.09,291.19,0.88,0.07,0.1,23.8,2.62
7,2024-05-17 18:25:00,0.04,3.09,291.3,0.7,0.07,0.1,23.8,2.62
7,2024-05-17 18:26:00,0.05,3.09,291.4,0.51,0.07,0.1,23.8,2.62
7,2024-05-17 18:27:00,0.03,3.09,291.5,0.33,0.07,0.1,23.8,2.62
7,2024-05-17 18:28:00,0.02,3.09,291.6,0.15,0.07,0.1,23.8,2.62
7,2024-05-18 05:11:00,0.22,4.18,68.21,0.02,0.13,0.0,21.8,0.22
7,2024-05-18 05:12:00,0.21,4.18,68.32,0.2,0.13,0.0,21.8,0.22
7,2024-05-18 05:13:00,0.21,4.18,68.42,0.38,0.13,0.0,21.8,0.22
7,2024-05-18 05:14:00,0.3,4.18,68.52,0.56,0.13,0.0,21.8,0.22
