LocationCode,DateTime,Power(mW)
7,2024-05-17 16:54:50,2.0
7,2024-05-17 16:55:48,2.03
7,2024-05-17 16:56:48,1.77
7,2024-05-17 16:57:48,2.31
7,2024-05-17 16:58:48,2.13
7,2024-05-17 16:59:48,2.17
7,2024-05-17 17:00:48,2.07
7,2024-05-17 17:01:48,1.82
7,2024-05-17 17:02:48,1.77
7,2024-05-17 17:03:48,1.77
7,2024-05-17 17:04:48,1.78
7,2024-05-17 17:05:48,2.0
7,2024-05-17 17:06:48,2.12
7,2024-05-17 17:07:48,2.0
7,2024-05-17 17:08:48,1.74
7,2024-05-17 17:09:48,1.48
7,2024-05-17 17:10:48,1.23
7,2024-05-17 17:11:48,1.03
7,2024-05-17 17:12:48,0.96
7,2024-05-17 17:13:48,0.95
7,2024-05-17 17:14:48,0.96
7,2024-05-17 17:15:48,1.0
7,2024-05-17 17:16:48,1.0
7,2024-05-17 17:17:48,0.94
7,2024-05-17 17:18:48,0.82
7,2024-05-17 17:19:48,0.77
7,2024-05-17 17:20:48,0.62
7,2024-05-17 17:21:48,0.6
7,2024-05-17 17:22:48,0.63
7,2024-05-17 17:23:48,0.62
7,2024-05-17 17:24:48,0.58
7,2024-05-17 17:25:48,0.6
7,2024-05-17 17:26:48,0.61
7,2024-05-17 17:27:48,0.59
7,2024-05-17 17:28:48,0.6
7,2024-05-17 17:29:48,0.61
7,2024-05-17 17:30:48,0.64
7,2024-05-17 17:31:48,0.77
7,2024-05-17 17:32:48,0.92
7,2024-05-17 17:33:48,1.0
7,2024-05-17 17:34:48,1.22
7,2024-05-17 17:35:48,1.43
7,2024-05-17 17:36:48,1.57
7,2024-05-17 17:37:48,2.03
7,2024-05-17 17:38:48,2.39
7,2024-05-17 17:39:48,2.8
7,2024-05-17 17:40:48,3.05
7,2024-05-17 17:41:48,3.13
7,2024-05-17 17:42:48,3.18
7,2024-05-17 17:43:48,3.2
7,2024-05-17 17:44:48,3.13
7,2024-05-17 17:45:48,3.06
7,2024-05-17 17:46:48,2.71
7,2024-05-17 17:47:48,2.36
