LocationCode,DateTime,Power(mW)
17,2024-01-01 06:29:00,0.0
17,2024-01-01 06:30:00,0.0
17,2024-01-01 06:31:00,0.01
17,2024-01-01 06:32:00,0.0
17,2024-01-01 06:33:00,0.01
17,2024-01-01 06:34:00,0.0
17,2024-01-01 06:35:00,0.01
17,2024-01-01 06:36:00,0.01
17,2024-01-01 06:37:00,0.01
17,2024-01-01 06:38:00,0.01
17,2024-01-01 06:39:00,0.01
17,2024-01-01 06:40:00,0.01
17,2024-01-01 06:41:00,0.01
17,2024-01-01 06:42:00,0.01
17,2024-01-01 06:43:00,0.01
17,2024-01-01 06:44:00,0.02
17,2024-01-01 06:45:00,0.01
17,2024-01-01 06:46:00,0.02
17,2024-01-01 06:47:00,0.02
17,2024-01-01 06:48:00,0.03
17,2024-01-01 06:49:00,0.03
17,2024-01-01 06:50:00,0.05
17,2024-01-01 06:51:00,0.06
17,2024-01-01 06:52:00,0.04
17,2024-01-01 06:53:00,0.03
17,2024-01-01 06:54:00,0.02
17,2024-01-01 06:55:00,0.05
17,2024-01-01 06:56:00,0.06
17,2024-01-01 06:57:00,0.05
17,2024-01-01 06:58:00,0.07
17,2024-01-01 06:59:00,0.07
17,2024-01-01 07:00:00,0.13
17,2024-01-01 07:01:00,0.14
17,2024-01-01 07:02:00,0.24
17,2024-01-01 07:03:00,0.24
17,2024-01-01 07:04:00,0.22
17,2024-01-01 07:05:00,0.16
17,2024-01-01 07:06:00,0.15
17,2024-01-01 07:07:00,0.15
17,2024-01-01 07:08:00,0.16
17,2024-01-01 07:09:00,0.16
17,2024-01-01 07:10:00,0.17
17,2024-01-01 07:11:00,0.22
17,2024-01-01 07:12:00,0.23
17,2024-01-01 07:13:00,0.22
17,2024-01-01 07:14:00,0.23
17,2024-01-01 07:15:00,0.23
17,2024-01-01 07:16:00,0.23
17,2024-01-01 07:17:00,0.23
17,2024-01-01 07:18:00,0.24
17,2024-01-01 07:19:00,0.31
17,2024-01-01 07:20:00,0.35
17,2024-01-01 07:21:00,0.36
17,2024-01-01 07:22:00,0.4
17,2024-01-01 07:23:00,0.4
17,2024-01-01 07:24:00,0.4
17,2024-01-01 07:25:00,0.36
17,2024-01-01 07:26:00,0.31
17,2024-01-01 07:27:00,0.23
17,2024-01-01 07:28:00,0.18
17,2024-01-01 07:29:00,0.22
17,2024-01-01 07:30:00,0.25
17,2024-01-01 07:31:00,0.25
17,2024-01-01 07:32:00,0.26
17,2024-01-01 07:33:00,0.25
17,2024-01-01 07:34:00,0.24
17,2024-01-01 07:35:00,0.24
17,2024-01-01 07:36:00,0.29
17,2024-01-01 07:37:00,0.24
17,2024-01-01 07:38:00,0.25
17,2024-01-01 07:39:00,0.23
17,2024-01-01 07:40:00,0.23
17,2024-01-01 07:41:00,0.24
17,2024-01-01 07:42:00,0.27
17,2024-01-01 07:43:00,0.27
17,2024-01-01 07:44:00,0.26
17,2024-01-01 07:45:00,0.32
17,2024-01-01 07:46:00,0.34
17,2024-01-01 07:47:00,0.36
17,2024-01-01 07:48:00,0.36
17,2024-01-01 07:49:00,0.37
17,2024-01-01 07:50:00,0.4
17,2024-01-01 07:51:00,0.41
17,2024-01-01 07:52:00,0.51
17,2024-01-01 07:53:00,0.65
17,2024-01-01 07:54:00,0.74
17,2024-01-01 07:55:00,0.9
17,2024-01-01 07:56:00,1.08
17,2024-01-01 07:57:00,1.16
17,2024-01-01 07:58:00,1.43
17,2024-01-01 07:59:00,1.63
17,2024-01-01 08:00:00,1.69
17,2024-01-01 08:01:00,1.57
17,2024-01-01 08:02:00,1.4
17,2024-01-01 08:03:00,1.19
17,2024-01-01 08:04:00,1.09
17,2024-01-01 08:05:00,1.04
17,2024-01-01 08:06:00,0.95
17,2024-01-01 08:07:00,1.06
17,2024-01-01 08:08:00,1.14
17,2024-01-01 08:09:00,1.17
17,2024-01-01 08:10:00,1.21
17,2024-01-01 08:11:00,1.24
17,2024-01-01 08:12:00,1.34
17,2024-01-01 08:13:00,1.41
17,2024-01-01 08:14:00,1.66
17,2024-01-01 08:15:00,1.97
17,2024-01-01 08:16:00,2.28
17,2024-01-01 08:17:00,2.69
17,2024-01-01 08:18:00,2.69
17,2024-01-01 08:19:00,2.45
17,2024-01-01 08:20:00,2.23
17,2024-01-01 08:21:00,2.26
17,2024-01-01 08:22:00,2.4
17,2024-01-01 08:23:00,2.46
17,2024-01-01 08:24:00,2.7
17,2024-01-01 08:25:00,2.7
