DateTime,GHI,DNI,DHI
2024-01-01 05:00,0.0,0.0,0.0
2024-01-01 05:15,0.0,0.0,0.0
2024-01-01 05:30,0.0,0.0,0.0
2024-01-01 05:45,0.0,0.0,0.0
2024-01-01 06:00,0.0,0.0,0.0
2024-01-01 06:15,0.0,0.0,0.0
2024-01-01 06:30,0.0,0.0,0.0
2024-01-01 06:45,5.13,40.11,5.7
2024-01-01 07:00,15.02,81.81,9.55
2024-01-01 07:15,26.65,111.02,12.48
2024-01-01 07:30,39.06,132.53,14.84
2024-01-01 07:45,51.79,149.13,16.83
2024-01-01 08:00,64.57,162.38,18.53
2024-01-01 08:15,77.18,173.21,20.01
2024-01-01 08:30,89.47,182.19,21.31
2024-01-01 08:45,101.31,189.75,22.46
2024-01-01 09:00,112.58,196.14,23.47
2024-01-01 09:15,123.21,201.59,24.36
2024-01-01 09:30,133.09,206.22,25.15
2024-01-01 09:45,142.16,210.17,25.83
2024-01-01 10:00,150.36,213.51,26.43
2024-01-01 10:15,157.62,216.31,26.94
2024-01-01 10:30,163.9,218.63,27.36
2024-01-01 10:45,169.16,220.49,27.71
2024-01-01 11:00,173.37,221.94,27.98
2024-01-01 11:15,176.49,222.99,28.18
2024-01-01 11:30,178.51,223.66,28.31
2024-01-01 11:45,179.41,223.96,28.36
2024-01-01 12:00,179.19,223.89,28.34
2024-01-01 12:15,177.85,223.46,28.26
2024-01-01 12:30,175.4,222.65,28.1
2024-01-01 12:45,171.85,221.46,27.87
2024-01-01 13:00,167.23,219.86,27.57
2024-01-01 13:15,161.56,217.83,27.19
2024-01-01 13:30,154.88,215.33,26.73
2024-01-01 13:45,147.24,212.33,26.19
2024-01-01 14:00,138.69,208.76,25.56
2024-01-01 14:15,129.29,204.55,24.83
2024-01-01 14:30,119.1,199.61,24.01
2024-01-01 14:45,108.21,193.81,23.07
2024-01-01 15:00,96.69,186.98,22.01
2024-01-01 15:15,84.66,178.9,20.81
2024-01-01 15:30,72.22,169.24,19.44
2024-01-01 15:45,59.52,157.55,17.88
2024-01-01 16:00,46.73,143.1,16.07
2024-01-01 16:15,34.07,124.76,13.95
2024-01-01 16:30,21.9,100.6,11.39
2024-01-01 16:45,10.8,67.08,8.17
2024-01-01 17:00,2.15,19.51,3.72
2024-01-01 17:15,0.0,0.0,0.0
2024-01-01 17:30,0.0,0.0,0.0
2024-01-01 17:45,0.0,0.0,0.0
2024-01-01 18:00,0.0,0.0,0.0
2024-01-01 18:15,0.0,0.0,0.0
2024-01-01 18:30,0.0,0.0,0.0
2024-01-01 18:45,0.0,0.0,0.0
2024-01-02 05:00,0.0,0.0,0.0
2024-01-02 05:15,0.0,0.0,0.0
2024-01-02 05:30,0.0,0.0,0.0
2024-01-02 05:45,0.0,0.0,0.0
2024-01-02 06:00,0.0,0.0,0.0
2024-01-02 06:15,0.0,0.0,0.0
2024-01-02 06:30,0.0,0.0,0.0
2024-01-02 06:45,4.97,39.18,5.61
2024-01-02 07:00,14.82,81.23,9.49
2024-01-02 07:15,26.44,110.65,12.43
2024-01-02 07:30,38.86,132.3,14.8
2024-01-02 07:45,51.61,149.0,16.79
2024-01-02 08:00,64.41,162.31,18.5
2024-01-02 08:15,77.04,173.17,19.99
2024-01-02 08:30,89.36,182.19,21.29
2024-01-02 08:45,101.23,189.77,22.44
2024-01-02 09:00,112.53,196.19,23.45
2024-01-02 09:15,123.19,201.65,24.35
2024-01-02 09:30,133.11,206.3,25.13
2024-01-02 09:45,142.21,210.26,25.82
2024-01-02 10:00,150.45,213.61,26.42
2024-01-02 10:15,157.75,216.42,26.93
2024-01-02 10:30,164.07,218.75,27.35
2024-01-02 10:45,169.37,220.63,27.7
2024-01-02 11:00,173.61,222.08,27.98
2024-01-02 11:15,176.77,223.14,28.18
2024-01-02 11:30,178.82,223.82,28.31
2024-01-02 11:45,179.76,224.13,28.36
2024-01-02 12:00,179.58,224.08,28.35
2024-01-02 12:15,178.27,223.66,28.27
2024-01-02 12:30,175.85,222.86,28.11
2024-01-02 12:45,172.33,221.69,27.88
2024-01-02 13:00,167.74,220.1,27.58
2024-01-02 13:15,162.1,218.1,27.2
2024-01-02 13:30,155.46,215.62,26.75
2024-01-02 13:45,147.84,212.65,26.21
2024-01-02 14:00,139.31,209.11,25.58
2024-01-02 14:15,129.93,204.94,24.86
2024-01-02 14:30,119.75,200.03,24.04
2024-01-02 14:45,108.87,194.27,23.11
2024-01-02 15:00,97.36,187.49,22.05
2024-01-02 15:15,85.32,179.47,20.86
2024-01-02 15:30,72.88,169.9,19.5
2024-01-02 15:45,60.17,158.3,17.95
2024-01-02 16:00,47.36,143.99,16.15
2024-01-02 16:15,34.67,125.85,14.05
2024-01-02 16:30,22.45,101.99,11.52
2024-01-02 16:45,11.27,68.96,8.33
2024-01-02 17:00,2.44,21.88,3.96
2024-01-02 17:15,0.0,0.0,0.0
2024-01-02 17:30,0.0,0.0,0.0
2024-01-02 17:45,0.0,0.0,0.0
2024-01-02 18:00,0.0,0.0,0.0
2024-01-02 18:15,0.0,0.0,0.0
